ID,Language_ID,Name,Description,Example_IDs,Source,Schema
constr123,teop1238,Basic Secundative Construction,"A is introduced by the direct articles. R and T may be introduced either by direct or oblique (object) forms of articles, depending on person of objects and subject (see flagging). R is encoded similarly to P in terms of word order, case and indexing. Indexing through special object clitics (in some cases through imperfective agreement), usually in agreement with subject (see indexing). Other comment: Inversion effects in ditransitive construction: the form of the secondary O (T), depends on the person of A and R (primary O). (cf. similarly, the form of primary O depends on the person of subject; see monotransitives). Note the inversion effects in a ditransitive construction: if both A and R are SAP pronouns (1,2), then T (the secondary O) remains in the DIR form; otherwise it takes the OBL article: (19) Enaa pasi vaasus avameam a meha taba 1SG will teach OBJ.2PL.IMM DIR.ART other thing ‘I will teach you another thing’ (20) Me paa pasi vaasusu ri (bari) bona meha taba and TAM teach OBJ.3PL (OBJ3SG) OBJ.ART other thing ‘And he taught them another thing’ NB in (19) T is in DIR since A is a SAP pronoun; in (20) T is marked by OBJ article (and optionally introduced by the OBJ form of the 3rd person pronoun; called 4th person pronoun by M).",ex259;ex424,mosel-2010,(art) A [V +r/p] (obl) R (obl) T
constr124,teop1238,Benefactive Indirective Construction,"T/P is a primary object, and BEN is an adjunct introduced by the dative preposition ki (the prepositional object is, as elsewhere, with the oblique article). Note that the latter construction can be transformed into the secundative by preposition incorporation (see applicative construction).",ex260,mosel-2006a,[A [V-t/p] (OBL) T [ki OBL R]]
constr125,nuuu1241,Double Object construction,The R carries the dative (suffix -a) but always precedes the T. The T is not introduced by a linker (Collins 2004 finds this remarkable).,ex261;ex425,ch05collins2004[183-194],[A V R-dat T] –
constr126,kala1399,Secundative Instrumental Construction,"R is in the absolutive case and is cross-referenced by object agreement. T is in the instrumental case and not indexed. This is a basic construction for canonical ditransitives. For the derived indirective construction, see ‘Applicatives’, and ‘Indirective construction’.",ex262,ch001fortescue1984,A-abs R-abs T-ins V.subj[A].obj[R]
constr127,kala1399,Indirective Allative Construction,"T is in the absolutive case and is cross-referenced by object agreement. R is in the allative case and not indexed. This construction is found with less canonical ditransitives with a beneficiary argument, or with applicative (”antibenefactive”) forms of canonical ditransitives (see the ‘secundative construction’).",ex263;ex426,ch001fortescue1984,A-abs T-abs R-all V.subj[A].obj[T]
constr128,kash1277,Dative Construction (Imperfective Series),"In imperfective tenses: A is in the nominative, R in the dative, and T (as P) is either unmarked (nominative) if non-human and/or lower than A on the person hierarchy (1>2>3), or DAT/ACC marked otherwise.",ex264;ex427,wali-koul-1997,A.nom AUX-a/s-(a/s-t/p-r) R.dat T(dat)
constr129,kash1277,Dative Construction (Perfective Series),"In perfective tenses, A carries the ergative case, and T/P is unmarked (nominative). R carries the dative, as in the imperfective series. The verb agrees with the nominative T/P argument, and can take enclitics cross-referencing A, T, and R (in that order).",ex265;ex428,wali-koul-1997,A.erg V-p/s-(a-t/p/s-r) R.dat T.nom
constr130,khan1273,Indirective Construction with VP internal T,A and T/P are unmarked. R is introduced by the postposition e:lti. The verb shows subject agreement (no object agreement). The construction is used when T is non-topical (rhematic/focussed).,ex266,ch001nikolaeva1999,A R+e:lti T V.subj[A]
constr131,khan1273,Indirective Construction with T Fronting,"Here T is topical and dislocated from the verb. A and T remain unflagged. R is still introduced by the postposition e:lti. The verb, in addition to subject agreement, shows number agreement with the topical object. The shifted T here is a (secondary) topic (p. 76).",ex267,ch001nikolaeva1999,A T R+e:lti V.obj[T].subj[A]
constr132,khan1273,Secundative construction,"A and R are unmarked, R being the main object. T takes the locative case -na. The verb shows obligatory object agreement with R, which is the secondary topic in this construction.",ex268;ex2084,ch001nikolaeva1999,A R T-loc V.obj[R].subj[A]
constr133,alam1246,Basic Secundative Construction,"A and R/P are unflagged; the verb cross-references A and R by subject and object enclitics respectively. Apart from canonical ditransitives, also 'rub/smear' verbs can take this pattern.",ex269;ex429,ch001bruce1984,A R T V.subj[A].obj[R]
constr134,alam1246,Locative Indirective Construction,"The verb cross-references A and T by subject and object enclitics respectively. R is introduced by the locative “referent” case enclitic -pnë. Use: With less canonical ditransitives like 'bring', but also with verbs that have a source argument.",ex270;ex430,ch001bruce1984,A R+pnë T V.subj[A].obj[T]
constr135,koas1236,Zero-Flagged Indirective Construction,"A/S is flagged by (overt) nominative case. T/P is flagged by accusative case, R is unflagged (the zero “autonomous” case). A/S is cross-inderxed by subject prefixes or suffixes, T/P by object prefixes, and R by dative prefixes.",ex271;ex431,ch01kimball1991,A-nom T-acc obj[R].obj[T].subj[A].V R
constr136,movi1243,Direct Secundative Construction,"The direct construction is used when A is higher on the animacy hierarchy than R/P. In this construction, A is the first core argument (ARG1), R is a second argument (ARG2), and T is an oblique. A and R are unmarked, T is introduced by an oblique case. A is indexed by a first order clitic (is zero in the 1st person), R/P can be marked a second-order (external) clitic if pronominal.",ex272;ex432,haude-2006,V.DIR-a(--r/p) A R obl.T
constr137,movi1243,Inverse Secundative Construction,"The inverse construction is used when A is lower on the animacy hierarchy than R/P. In this construction, P/R is the first core argument (ARG1), A is a second argument (ARG2), and T is an oblique. As in the direct pattern, both A and R are unmarked and T is introduced by an oblique case. However, here both word order and indexing are reversed: P/R is indexed by a first order clitic, while by a second-order (external) clitic.",ex432;ex272,haude-2006,V.INV-r/p(--a) R A obl.T
constr138,arak1252,Secundative Prepostional Construction,"The usual pattern with ditransitive verbs (unless T is human). A and R are unmarked, and T is introduced by a preposition (most often the oblique preposition (i)ni or locative lo). The verb agrees with R by means of object agreement suffixes.",ex273;ex433,francois-re-2002,A subj[A].V.obj[R] R ni+T
constr139,arak1252,Indirective Prepositional Construction,"The indirect construction can only be used when T is human. In this construction, T is in the object position and indexed on the verbs, while R is introduced by a preposition like (i)sa ‘with; to’.",ex274;ex434,francois-re-2002,A subj[A].V.obj[T] T (i)sa+R
constr140,dyir1250,Dative Indirective Construction,"No indexing on the verb. T is in the absolutive (with nouns), A in the ergative (with nouns), and R is in the dative case. This construction is frequently part of a complex ““implicated NP construction” (see Other Constructions).",ex275,ch001dixon1972,T-abs A-erg V R-dat
constr141,dyir1250,Genitive Indirective Construction,"No indexing on the verb. T is in the absolutive (with nouns), A in the ergative (with nouns), and R stands in simple genitive case, as a possessor in a possessive construction. This is the most common construction with canonical ditransitives.",ex276,ch001dixon1972,T-abs R-gen A-erg V
constr142,dyir1250,Instrumental Secundative Construction,"No indexing on the verb. R is in the absolutive (with nouns), A in the ergative (with nouns), and T is in the instrumental case.",ex277,,R-abs A-erg T-ins V
constr143,tuka1249,Ergative Secundative Construction,"R is the main object: R (like P in the ergative construction) carries nominative case. T is introduced by the CORE preposition te. Indexing is also secundative, insofar as object suffixes index R (prefixal agreement is neutral as it indexes A/S).",ex278;ex435,ch001donohue1999,subj[A].V.obj[R] te+T na+R te+A
constr144,tuka1249,Antipassive Double Oblique Construction,"Flagging is neutral, as A in the “antipassive” construction is introduced by nominative case, both R and T are in CORE case (double object construction). Indexing is neutral, as subject agreement is used for A, and there is no object agreement. Donohue prefers to regard this construction as an “object focus” (pronominal voice) construction rather than antipassive.",ex279,ch001donohue1999,subj[A].V te+T na+A te+R
constr145,tuka1249,Indirective Oblique Construction,"Found with less canonical ditransitives. T is the main object, while R is introduced by the locative/oblique preposition i/di (has general LOC, ALL, ABL functions). A construction with R introduced with ako may also be regarded as a variant of this construction (since the serial verb ako ‘do.for’ has been reanalyzed as benefactive preposition; p. 187). In principle, this construction can also appear in the ergative or antipassive variant.",ex280;ex436,ch001donohue1999,subj[A].V te+T na+A i+R
constr146,arhu1242,Mixed Alignment Construction,"Indexing is secundative, but flagging is indirective. R takes the locative postposition -se’ (also optionally as an ergative marker). This construction can also be used with source arguments ('buy from').",ex281;ex437,frank-1985,[A(-loc) R-loc T subj[A].obj[R].V]
constr147,kore1280,Dative Construction,"The basic construction: A is flagged by the nominative postposition ka/i (or the topic particle nun), T/P by the accusative lul, and R by the dative postpositions (different markers depending on animacy and politeness).",ex282;ex438,sohn-1994;ogrady-1991,A ka R eykey T lul V
constr148,kore1280,Double Object Construction,"Here the dative is replaced by the accusative “for emphatic (i.e. focus) purposes”. Double Object Constructions are not restricted to canonical ditransitives, but also occur with BEN, and other constructions which may be conceived as involving possessor ascension (Sohn, p. 204, ex. 440a). Acceptability of a Double Object Construction varies. O’Grady (p. 53; -> Kang) notes that in some ditransitive constructions (an example with a GIVE verb is given), the double object is preferred to the dative construction. Kozinsky & Polinsky (1993: 189), on the other hand, state that the double object construction is dispreferred by some speakers in general (an example with a SEND verb is given).",ex283;ex439;ex2056,sohn-1994;ogrady-1991,A ka R lul T lul V
constr149,kore1280,Mixed Constructions,"R is marked with what appears to be a combination of dative and accusative case. The latter marker, however, may be analyzed as a (homophonous) pragmatic marker (“focus delimiter”; p. 184) in this construction. R is focused here.",ex284,sohn-1994,A ka R eykey lul T lul V
constr150,kore1280,Indirective Addressee Construction,"With speech act verbs, the addressee is introduced with poko or tele ‘to’. The object may be carry accusative if nominal, but is often a complement (quotative) clause.",ex285,sohn-1994,A ka R tele/poko (T lul) V
constr151,nama1264,Ditransitive Construction,Both R and T are followed by the oblique case suffix -à.,ex286,hagman-1977[76-77],A R-obl T-obl V
constr152,seme1247,Indirective Locative Construction,"R is introduced by the locative preposition ?en (ex. 13a), or by “deictic” locative indicating orientation towards the speaker (ex. 102). T (like P) is optionally introduced by the proclitic hn=, which, however, also appears on pronominal objects of prepositions (p. 264). Indexing is neutral insofar as only A is indexed on the verb. Other comment: hosting a possessive marker p. 252. Only core arguments (or possessors of them), including IO (R; see (30)) can host a possessive enclitic =hn 3POS. (With obliques, 3rd person POS is expressed by the free pronoun kEh. p. 252; (30)",ex287;ex440,kruspe-2004,subj[A].V A-erg ʔen+R (hn+)T
constr153,seme1247,Neutral Benefactive Construction,"Unlike the locative construction, in the benefactive, BEN may be unmarked (alternatively introduced through an “associative” construction (cf. p. 215 (ex. 65); ‘weave my basket/basket for me’)). In imperatives, R is unmarked like a BEN.",ex288;ex441,kruspe-2004,subj[A].V A-erg R (hn+)T
constr154,basq1248,Dative Indirective Construction,"A canonical ditransitive construction which is ergative indirective. A is flagged by the ergative, R by the dative, and T (like P and S) by the absolutive case. T (again, like P and S) is cross-referenced by absolutive prefixes, R by dative suffixes, and A by ergative suffixes.",ex289;ex442,saltarelli-1988;hualde-urbina-2003,A.erg R.dat T.abs t/p/s-V/AUX-d-a
constr155,basq1248,Benefactive Indirective Construction,"Differently from the dative construction, R/BEN is in the “benefactive” case -tzat, affixed to the genitive form of the noun. BEN is not indexed on the verb: The finite verb/auxiliary is monotransitive, not ditransitive.",ex290;ex2049,saltarelli-1988,A.erg R.gen-tzat T.abs t/p/s-V/AUX-a
constr156,garo1247,Dative Construction,"T/P is in the accusative, and R (or BEN or Addressee) is in the dative case. There is no indexing (agreement). It is a a basic ditransitive construction.",ex291;ex443,burling-2004,A(-nom) R-dat T-acc V
constr157,garo1247,Monotransitive (?) Accusative Construction,"With verbs like TELL, TEACH, ORDER, if T is omitted (“not mentioned”), R takes the accusative case.",ex292,burling-2004,A(-nom) R-acc V
constr158,dier1241,Double Object Construction,"Both R and T carry the same case (absolutive or accusative, depending on the type of the nominal). There is no indexing on the verb. This construction is restricted to four verbs.",ex293,,A-erg R-abs T-abs V
constr159,dier1241,Dative Benefactive Construction,"T/P is in absolutive (or accusative, depending on the type of the nominal), and Ben is in the dative case. The verb may optionally take the benefactive marker -yirpa-.",ex294,,A-erg R-dat T-abs V
constr160,djin1251,Dative Construction,"When the arguments are nominal, R is in the dative. T (like P) is in absolutive case. If pronominal, both R and T carry accusative (ex. 446h). (Note that in the same construction, NP is in dative while the coreferential resumptive pronoun is in accusative; see ex. 446b). The verb optionally agrees with R (see ex. 446k).",ex295;ex444,,A.erg V-a/s-(r/p)-(aux) T R.dat
constr161,djin1251,Double Object Construction,"Flagging as in the dative construction, but R is in absolutive case. This construction is restricted to core ditransitives and is not available for Beneficiaries (p. 108). A construction with both objects being pronominal may be also regarded as a double object construction, since both R and T are in accusative. If pronominal, both R and T are in accusative case (ex. 446h).",ex296;ex445,,A.erg V-a/s-r/p-(aux) T R
constr162,djin1251,Allative Construction,"With burdb- ’send’, R carries allative case, and T is unexpectedly in ergative case. SEND is used instead of GIVE if T is 1st/2nd person (see Animacy Effects). Indexing is apparently with T, if pronominal (no forms with pronominal Ts are given though).",ex297,,A.erg V-a/s-(t/p?)-(aux) T R
constr163,itel1242,Dative Ditransitive Construction,"This is an indirective pattern in both cases (T like P unmarked, R in dative). R (rather than T) is indexed, but indexing is not secundative inasmuch as one uses special IO agreement with R.",ex298;ex446,ch001georgvolodin1999,A T subj[A].V.obj[R] R-dat
constr164,itel1242,Dative Monotransitive Construction,"Here also, flagging is indirective (T like P unmarked, R in dative). Indexing is also indirective, as object agreement indexes T.",ex299,ch001georgvolodin1999,A T subj[A].V.obj[T] R-dat
constr165,yuec1235,T-R Double-Object Construction,The T-R order is normal with ‘give’.,ex300;ex447,xu-peyraube-1997[106];matthews-yip-1994[137],A V T R
constr166,yuec1235,R-T Double-Object Construction,"The R-T order is dispreferred with ‘give’, but is normal with other verbs such as ‘owe’, ‘borrow from’, ‘teach’.",ex301;ex448,xu-peyraube-1997[106],A V R T
constr167,yuec1235,Dative Construction,"This construction uses the preposition bei, which is often regarded as a serial verb.",ex302,xu-peyraube-1997[106],A V T bei+R
constr168,kung1261,Indirective Construction,"In this construction, T follows the verb and R is introduced by the oblique (“transitive”) preposition kē. Canonical ditransitives (including à’ā GIVE1) allow for both the secundative and the indirective construction. Some other verbs (e.g. nē’ē GIVE2) only allow for the indirective construction, and need ‘a’-promotion (quasiapplicative) to form a secundative pattern",ex303;ex449,konig-heine-2010,A (TOP) V T kē R
constr169,kung1261,Secundative Construction,"In this construction, R follows the verb and T is introduced by the oblique (“transitive”) preposition kē. Canonical ditransitives allow for both the secundative and the indirective construction. Some other verbs (e.g. heal/treat) only allow for the secundative construction. Compare also example (18b) (with nē’ē - ‘give3’) with the derived quasiapplicative -a.",ex304;ex450,konig-heine-2010,A (TOP) V R kē T
constr170,kung1261,Possessive Monotransitive Construction,"In this construction, R follows the verb and both R and T are unmarked. It looks like a double object construction, but it is actually a possessive construction (ex. 1650 lit. ’refuses woman’s medicine’). Noted for REFUSE and STEAL and other verbs of dispossession.",ex305,konig-heine-2010,A (TOP) V R T
constr171,kung1261,Benefactive Indirective Construction,In this construction T follows the verb and R is introduced with preposition à’ā (historically the verb GIVE).,ex306,konig-heine-2010,A (TOP) V T à’ā R
constr172,fonn1241,Double Object Construction,Both R and T are unmarked (with full NP); the word order is variable.,ex307;ex451,ch03lefebvre1994,A V T R
constr173,fonn1241,Indirective Prepositional Construction,In this construction R is introduced by the preposition nú. This construction normally expresses R with less canonical ditransitives; with canonical ones it expresses beneficiary (see Lefebvre 1994: 8; (ib) and (iia)).,ex308;ex452,ch03lefebvre1994,A V T nú+R
constr174,fonn1241,Serial Verb Construction,"Here T is introduced by the verb sɔ́ ‘take’ and R by the verb ná ‘give’. Semantically it is different from the Double Object Construction in that the addressee is not (necessarily) a (successful) recipient (i.e. the construction does not necessarily imply a successful transfer, as seen in example (24) in Lefebvre 1994: ‘Koko gave the crab to Asiba, but the crab is not hers’).",ex309;ex453,ch03lefebvre1994,A sɔ́+T V R
constr175,newa1246,Indirective Dative Construction,"Flagging is indirective: A carries the ergative and R the dative. T is usually unmarked (unless human; see Double dative construction under Animacy Effects). Indexing is neutral, as the verb agrees with the subject.",ex310,,A-erg R-dat T(-abs) V.subj[A]
constr176,amha1245,Dative Construction,"A is unmarked and R is marked by the preposition lə (proclitic). T is marked by the accusative suffix -n if definite. The verb optionally agrees with R by means of object agreement suffixes. However, if R is 1st or 2nd person, pronoun agreement is obligatory.",ex311;ex454,ch001amberber2009,A-nom lә+R T(-acc) V.subj[A].(obj[R])
constr177,amha1245,Double Object Construction,Here R is in accusative case and T is unmarked (Amberber 2002: 48 mentions avoidance of double ACC marking). Interestingly object agreement is obligatory in this construction (in the Dative Construction it may be optional).,ex312,amberber-2002;ch001amberber2009,A-nom R-acc T V.subj[A].obj[R]
constr178,east2542,Secundative Ditransitive Construction,"Flagging is neutral: A, P, R, and T (sometimes also obliques) are unmarked. The (primary) object agreement (P/R) only occurs with R arguments. (T-agreement is possible only in the absence of R; see Indirective R-less construction.)",ex313;ex455,rhodes-1990;ch21rhodes2005,subj[A].V.obj[R] T R A
constr179,east2542,Secundative R-less Construction,"In this (“pseudo-transitive” in terms of Bloomfield) construction, arguments are also unflagged, but the verb takes a separate secondary object agreement series for T marking. R is unexpressed in this construction (omitted, incorporated or reflexivized).",ex314;ex456,rhodes-1990;ch21rhodes2005,subj[A].V.obj[T] T A
constr180,halk1245,Secundative Applicative Construction,"The verb contains the applicative (recipient applicative) marker. The primary object R is unmarked (like P and A), while T is introduced by the oblique preposition ?ə. R (like P) is indexed by object agreement suffixes. T is unmarked, the same holds for A except for 3rd person As, which are indexed by the ergative suffix.",ex315;ex457,ch001gerdts1982;ch001gerdtstv,V-APPL-TR-r/p-(a) R ?ə T
constr181,zulu1248,Double Object Basic Construction,"Basic ditransitives form a double object construction, where R is marked by the object agreement suffix. Note however that if T is topical, it can also be indexed (see (31a)).",ex316;ex458,poulos-1982,A subj[A].obj[R].V R T
constr182,zulu1248,Double Object Applicative Construction,"This is also a double object construction, but here object agreement with BEN seems more regular.",ex317;ex459,poulos-1982,A a/s-(r/p/t)-V-appl R T
constr183,nucl1284,Dative construction,A/S are unmarked. R is in the dative and T is normally unmarked. The (suffixal) agreement is only with the subject (A/S). Thus differential object marking is suspended in ditransitives (except for pronominal Ts; see animacy effects).,ex318,neukom-patnaik-2003,[A R-dat T V.subj[A]] –
constr184,soch1239,Monotransitive Prepositional Indirective,"This is a monotransitive construction where T is the main object and R is a prepositional object. Prepositional BEN marker ñícon ‘for’ is also used for both ‘to’ and ‘from’. T is unmarked. As in other cases only the subject is indexed on the verb. Note however, that the verb form changes depending on animate/inanimate T. The monotransitive construction unlike the ditransitive one indicates temporary rather than permanent transfer.",ex319;ex460,,V.subj[A] A T ñí’con+R
constr185,soch1239,Ditransitive Inanimate Construction (with inanimate T),"In this construction with inanimate T, both T and R are unmarked; neither is indexed (indexing of subject A argument). The form of the verb however is distinct for animate and inanimate themes (an indirective feature). Yet the choice of the direct here vs. inverse forms is sensitive to hierarchy relation (1/2 > 3 > 3/obv) between A and R arguments (a secundative feature). The ditransitive construction (unlike the monotransitive one) indicates permanent transfer.",ex320,,V.subj[A] A R T
constr186,soch1239,Ditransitive Animate Construction (with animate T),"In this construction both T and R are unmarked; neither is indexed (indexing of subject A argument). The form of the verb however is distinct for animate and inanimate themes (an indirective feature). The verb form is also sensitive to the hierarchy relation between A and T arguments (1/2 > 3 > 3/obv), conditioning the use of direct vs. inverse forms (another indirective feature). The ditransitive construction (unlike the monotransitive one) indicates permanent transfer.",ex321;ex461,,V.subj[A] A R T
constr187,ewee1241,Double Object Construction,"The arguments are unmarked (no case). There is no indexing either (but see indexing comments). The order is either AVTR, or less usually AVRT. In this construction T is indefinite.",ex322;ex462,essegbey-1999,A V T R
constr188,ewee1241,Serial Verb Construction,The T argument is introduced by the serial verb tsɔ́ TAKE. In this construction T is definite and R is indefinite. The serial verb construction is generally used to avoid the definite-T constraint (see animacy and person).,ex323;ex463,essegbey-1999,A V T V R
constr189,kaza1248,Dative Construction,"Dative recipient construction, with differential P/T marking dependent of definiteness/specificity.",ex324,mawkanuli-na,A-nom R-dat T-acc V.subj[A]
constr190,nucl1643,Dative Construction,"The dative accusative construction, with the R marked by the dative postposition ni, and T/P marked by the accusative postposition o. (A is marked by the topic marker wa or the (new) subject marker ga). There is no indexing on the verb (except for subject honorifics).",ex325;ex464,ch001miyagawatsujioka2004;matsuoka-2003,A ga/wa R ni T o V
constr191,swah1253,Double Object Construction,"A double object construction (with A, T, and R unmarked). The indexing is secundative: object prefixes index the R.",ex326;ex2058,ch001vitale1981,A subj[A].obj[R].V R T
constr192,supy1237,Dative Prepositional Construction,"A and T/P arguments are unmarked, R is introduced by the postposition á. R is postverbal as other oblique (prepositional) objects. No indexing on the verb. This is the basic ditransitive construction.",ex327;ex465,carlson-1994,A T V R+á
constr193,supy1237,Serial Verb Construction: Shifted Pattern,Serial verb construction involving kan GIVE also has a prepositional and shifted versions (like the main verbs kan). The verbs in an SVC are related by a connective marker.,ex328,carlson-1994,(A P V1) CONN R V
constr194,supy1237,Dative Shifted Construction,In this construction R is shifted into the preverbal object position; the T is marked by the preposition na ‘at’. Only kan GIVE (and ASK/beg) permit a dative shift. Dative shifted are rare (3%) of cases (p. 400),ex329;ex466,carlson-1994,A R V T+na
constr195,supy1237,Serial Verb Construction: Indirective Pattern,Serial verb construction involving kan GIVE also has a prepositional and shifted versions (like the main verbs kan). The verbs in an SVC are related by a connective marker.,ex330,,(A P V1) CONN T V R á
constr196,panj1256,Dative Construction (non-perfective tenses),"In the dative construction, R is followed by the postposition nüü and T is unmarked (even though Ps show DOM). Indexing is neutral insofar as the Verb shows gender agreement with the subject. Note that in non-perfective tenses the alignment is accusative (the subject lacks ergative marker and controls verbal agreement).",,bhatia-1993[173],A R+nüü T V.subj[A]
constr197,lazz1240,Dative Construction (non-perfect series),"In this construction, flagging is indirective: R takes the dative case, while T (like P) is unmarked (flagging of pronouns is neutral though, as 1,2 p. pronouns don’t distinguish between ergative, absolutive and dative cases). Indexing is secundative insofar as the object agreement prefixes, index R not T (except for cases when T is higher than R on the person/animacy hierarchy, or is equal to R see Animacy Effects).",ex331;ex467,,A.erg R.dat T (a/s-)r/p-V-(a/s)
constr198,cash1254,Double Object Construction,"In the double object constructions with nominal arguments, A is in the ergative, and both R and T are in the (unmarked) absolutive case. There is no indexing on the verb except for the plural subject marker (with 3rd person human/animate subjects).",ex468;ex53;ex107;ex332;ex533;ex581;ex724;ex760;ex844;ex955,camargo-2007,[A-erg R-abs T-abs V.subj[A]] –
constr199,lazz1240,Benefactive Construction (non-perfect series),"This construction is used for beneficiaries with less canonical ditransitives. The beneficary is introduced by the postposition/enclitic -šen(i) , T is unmarked. Like flagging , indexing is indirective. Kutscher (2001) regards this construction as monotransitive rather than ditransitive. A more frequent way to encodwe a beneficiary is a ditransitive construction with the benefactive “version” prefix u-/i- (see derived ditransitives under the dative construction)",ex333;ex469,,A.erg R-šen(i) T (a/s-)r/p-V-(a/s)
constr200,lazz1240,Allative Construction (perfect series),This is an inverse construction with the experiencer subject in the dative case which controls object prefixees on the verb. Formally T behaves like a subject (riggers subject suffixes on the verb). In this construction R is coded by Allative case (”demoted to allative”; Lacroix) apparently to prevent doubling of dative case (on subject and object). This construction is found in the perfect series and in the potential derivation. The construction is indirective (if we compare it to the construction in the same series).,ex334;ex470,,A-dat R-all T subj[A].V.obj[T]
constr201,olut1240,Basic Ditransitive Construction,"The only basic ditransitive verb is mo:y? GIVE, all the other are derived (by the applicative). The alignment pattern of this verb is neutral in terms of coding: there is no flagging of core arguments, nor agreement with any of the object in the direct construction. yet the construction shows secundative properties, in particular the verb agrees with the R in the inverse.",ex335;ex471,zavala-maldonaldo-2002,A subj[A].V R T
constr202,olut1240,Applicative Ditransitive Construction,"Except for the GIVE verb, the construction with the Recipient-Beneficiary (also addressee, malefactive, external possessor) must be marked with the applicative suffix –ja:y?. Like the basic ditransitive construction this construction is neutral in coding in the direct construction (in the inverse indexing is secundative). Special phenomena: (1) Inversion In the inverse construction, P is cross-referenced by the absolutive proclitics on the verb (both A and P remain unflagged). Inverse is used when P outranks A in saliency (person/nimacy/topicality); p188-9. c) in the applicative construction, R undergoes inversion; p. 688 (33a) (2) Verbal number marking The suffix -küx signals plurality of the plural 3rd person A, but may also refer to plurality of P. fn the applicative construction, -küx can signal plurality of either T (695; (43b)) or R (43c).",ex337;ex472,zavala-maldonaldo-2002,A subj[A].V R T
constr203,panj1256,Dative Construction (perfective tenses),"In the dative construction, R is followed by the postposition nüü (Beneficiaries can alternatively be expressed by a complex postposition including a combination of the genitive postposition with laii ‘for’.) T is unmarked though (even though Ps show DOM). Indexing is also indirective insofar as the suffixal (gender) agreement indexes the objecvt (T/P). Note that in the perfective tenses the construction is ergative both in terms of flagging (ergative postposition) and indexing (gender agreement with the S/P/T arguments)..",ex338;ex473,bhatia-1993[173],A=ne R=nüü T V-t/p/s
constr204,yoru1245,Secundative Prepositional Construction,"This is the basic ditransitive construction (with a non-pronominal T), where R is unmarked and T is marked by the general locative preposition Ní.",ex339;ex474,atoyebi-2009,A V R ní+T
constr205,yoru1245,Secundative Serial Verb Construction,In this construction T is introduced by the auxiliary verb fi ‘take/use’ which is not used as a main verb. This construction must be used instead of the prepositional construction when T is pronominal. It can be used along with the secundative prepositional construction when T is definite.,ex340;ex475,atoyebi-2009,A fi T V R
constr206,yoru1245,Allative Indirective Construction,"With less canonical ditransitives with a directional meaning; T is unmarked, R is introduced by the preposition sí .",ex341;ex476,atoyebi-2009,A V T sí +R
constr207,yoru1245,Benefactive Construction,In this construction beneficiary is introduced by the preposition (or a serial verb) fún GIVE.,ex342;ex477,atoyebi-2009,A V T fún+R
constr208,lang1324,Secundative Double Object Construction,"In the double object construction, R is indexed on the verb , T is not.",ex343;ex478;ex537,noonan-1992,A subj[A].V.obj[R] R T
constr209,lang1324,Indirective Prepositional Construction,In the indirective construction R is introduced by the preposition bòt ‘to’; T is indexed on the verb. Indirective construction is chosen when T is given/definite/topical (p. 150).,ex344;ex479,noonan-1992,A subj[A].V.(obj[T]) T bòt+R
constr210,amel1241,Double Object “Shifted” Construction,"This construction is found only with the verb GIVE. It is exceptional in that the verb lacks the stem, only agreement (and tense) markers are present. It is also exceptional in that R is indexed in the first postverbal agreement slot normally reserved for P-agreement. (In other patterns the order of R and T indices is the opposite). As in other constructions flagging is neutral.",ex345;ex480,roberts-1987,A R T (V).obj[R].obj[T].subj[A]
constr211,amel1241,Double Object “Unshifted” Construction,"This construction is found with a few ditransitive verbs like SHOW and TEACH. As in other constructions objects are unmarked. T (when expressed) occurs in the first object agreement slot, R in the second slot. The order of object agreement suffixes is indirective, although no applicative marker is present. The same construction is also possible with benefactive verbs: beneficiary is encoded in the second slot. (Usually however, benefactives are expressed in the applicative construction).",ex346;ex481,roberts-1987,A R T V.obj[T].obj[R].subj[A]
constr212,amel1241,Indirective Applicative Construction,"This is the most productive constrruction wuith ditransitive verbs. As in other constructions flagging is neutral. Indexing is indirective insofar as T is cross-referenced in the first (object) agreement slot, and R is introduced by the applicative -i- marker followed by another object agreement marker. The same construction is normally used to introduce benefactives.",ex347;ex482,roberts-1987,A R T V-t/p-APPL-r-a/s
constr213,vafs1240,Double Object Construction (Non-Past Series),"In the non-past series, A/S is in the direct (nominative) case: both R and T are in the oblique case. T must be oblique if definite, otherwise it is unmarked (direct case). Thus there is a kind of differential marking of P/T arguments. In the non-past tenses, subjects are indexed by verb suffixes, T/P (if omitted and animate/definite?) can be indexed by oblique (set-II) clitics (procliticized to the verb).",ex348;ex483,stilo-2010,A(dir) T.dir/obl (t/p=) V-a/s R .obl
constr214,vafs1240,Adpositional R Construction (Non-Past Series),"This construction is indirective in flagging. R is introduced by an allative preposition o (with GIVE), a allative-locative preposition dæ with SAY/TELL and with benefactive postposition =ra with Beneficiaries. As in the double object construction, object show differential case marking depending on definiteness of T/P arguments. As in the other construction in the non-past series, A/S is unmarked and indexed by suffixes. In the non-past tenses, subjects are indexed by verb suffixes, T/P (if omitted and animate/definite?) can be indexed by oblique (set-II) clitics (procliticized to the verb)",ex349;ex484,stilo-2010,A(dir) o+R.obl T.dir/obl (t/p=) V-a/s
